accelerate               0.33.0
aiohappyeyeballs         2.3.4
aiohttp                  3.10.0
aiosignal                1.3.1
annotated-types          0.7.0
anyio                    4.4.0
asttokens                2.4.1
async-timeout            4.0.3
attrs                    24.1.0
bitsandbytes             0.43.3
certifi                  2024.7.4
charset-normalizer       3.3.2
click                    8.1.7
comm                     0.2.2
datasets                 2.20.0
debugpy                  1.8.2
decorator                5.1.1
deepspeed                0.14.5
dill                     0.3.8
distro                   1.9.0
docker-pycreds           0.4.0
docstring_parser         0.16
exceptiongroup           1.2.2
executing                2.0.1
filelock                 3.15.4
frozenlist               1.4.1
fsspec                   2024.5.0
gitdb                    4.0.11
GitPython                3.1.43
h11                      0.14.0
hjson                    3.1.0
httpcore                 1.0.5
httpx                    0.27.0
huggingface-hub          0.24.5
idna                     3.7
inquirerpy               0.3.4
ipykernel                6.29.5
ipython                  8.26.0
jedi                     0.19.1
Jinja2                   3.1.4
joblib                   1.4.2
jupyter_client           8.6.2
jupyter_core             5.7.2
markdown-it-py           3.0.0
MarkupSafe               2.1.5
matplotlib-inline        0.1.7
mdurl                    0.1.2
mpmath                   1.3.0
multidict                6.0.5
multiprocess             0.70.16
nest-asyncio             1.6.0
networkx                 3.3
ninja                    1.11.1.1
nltk                     3.8.1
numpy                    1.26.4
nvidia-cublas-cu12       12.1.3.1
nvidia-cuda-cupti-cu12   12.1.105
nvidia-cuda-nvrtc-cu12   12.1.105
nvidia-cuda-runtime-cu12 12.1.105
nvidia-cudnn-cu12        8.9.2.26
nvidia-cufft-cu12        11.0.2.54
nvidia-curand-cu12       10.3.2.106
nvidia-cusolver-cu12     11.4.5.107
nvidia-cusparse-cu12     12.1.0.106
nvidia-ml-py             12.560.30
nvidia-nccl-cu12         2.18.1
nvidia-nvjitlink-cu12    12.5.82
nvidia-nvtx-cu12         12.1.105
openai                   1.38.0
packaging                24.1
pandas                   2.2.2
parso                    0.8.4
peft                     0.12.0
pexpect                  4.9.0
pfzy                     0.3.4
pillow                   10.4.0
pip                      24.0
platformdirs             4.2.2
prompt_toolkit           3.0.47
protobuf                 5.27.3
psutil                   6.0.0
ptyprocess               0.7.0
pure-eval                0.2.2
py-cpuinfo               9.0.0
pyarrow                  17.0.0
pyarrow-hotfix           0.6
pydantic                 2.8.2
pydantic_core            2.20.1
Pygments                 2.18.0
pylatexenc               2.10
python-dateutil          2.9.0.post0
pytz                     2024.1
PyYAML                   6.0.1
pyzmq                    26.0.3
regex                    2024.7.24
replicate                0.31.0
requests                 2.32.3
rich                     13.7.1
safetensors              0.4.3
sentry-sdk               2.12.0
setproctitle             1.3.3
setuptools               69.5.1
shtab                    1.7.1
six                      1.16.0
smmap                    5.0.1
sniffio                  1.3.1
stack-data               0.6.3
sympy                    1.13.0
tokenizers               0.19.1
torch                    2.1.2
torchaudio               2.1.2
torchvision              0.16.2
tornado                  6.4.1
tqdm                     4.66.5
traitlets                5.14.3
transformers             4.43.3
triton                   2.1.0
trl                      0.9.6
typing_extensions        4.12.2
tyro                     0.8.5
tzdata                   2024.1
urllib3                  2.2.2
wandb                    0.17.5
wcwidth                  0.2.13
wheel                    0.43.0
xxhash                   3.4.1
yarl                     1.9.4
